Processes: 906 total, 2 running, 904 sleeping, 3777 threads 
2026/06/18 23:30:46
Load Avg: 1.61, 2.59, 4.18 
CPU usage: 3.61% user, 13.5% sys, 83.33% idle 
SharedLibs: 1096M resident, 185M data, 317M linkedit.
MemRegions: 288673 total, 5256M resident, 549M private, 2840M shared.
PhysMem: 20G used (2435M wired, 3334M compressor), 3577M unused.
VM: 380T vsize, 6144M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 54343211/45G in, 58823274/49G out.
Disks: 24917648/473G read, 25410543/569G written.

PID    COMMAND          %CPU TIME     #TH   #WQ  #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES JETPRI USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
98932  com.apple.ifdrea 0.0  00:00.04 2     1    35     2112K 0B    1824K 98932 1     sleeping *0[3]       0.00000 0.00000    0   946       86     209        203        666        635        312        7       0        0.0   0      0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
98917  IOUIAgent        0.0  00:01.60 5     1    183    6992K 0B    2176K 98917 1     sleeping *0[1]       0.00000 0.00000    501 8319      155    16312      8963       45800      51015      31283      39      3        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
98912  STExtractionServ 0.0  00:09.02 2     1    24     3168K 0B    2880K 98912 1     sleeping  0[0]       0.00000 0.00000    242 1546      91     243        129        281439     473        36292      39      0        0.0   0      0      0      _nsurlsessiond         N/A    N/A   N/A   N/A   N/A   N/A  
98901  XProtectPluginSe 0.0  00:05.72 2     1    41     3136K 0B    624K  98901 1     sleeping  0[0]       0.00000 0.00000    0   5470      100    2518       971        385731     4437       14902      15      1        0.0   0      0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
98849  com.apple.Stream 0.0  00:01.15 2     1    37     6960K 0B    6624K 98849 1     sleeping  0[0]       0.00000 0.00000    242 10152     88     1982       1386       3653       3699       2096       16      0        0.0   0      0      0      _nsurlsessiond         N/A    N/A   N/A   N/A   N/A   N/A  
97633  PlugInLibrarySer 0.0  00:00.02 2     1    26     1888K 0B    1648K 97633 1     sleeping  0[0]       0.00000 0.00000    501 594       87     143        59         411        251        64         3       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
97523  DiskUnmountWatch 0.0  00:00.02 2     1    25     1536K 0B    1328K 97523 1     sleeping  0[0]       0.00000 0.00000    501 573       86     136        62         414        248        94         2       0        0.0   0      0      40     jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
97519  fskit_agent      0.0  00:00.79 2     1    41     3264K 0B    2864K 97519 1     sleeping *0[7]       0.00000 0.00000    501 55420     109    1889       1546       13511      5205       4601       7       2        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
95267  PlugInLibrarySer 0.0  00:00.03 2     1    24     2064K 0B    1808K 95267 1     sleeping *0[48]      0.00000 0.00000    501 1048      87     183        105        816        334        129        3       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
94911  CSExattrCryptoSe 0.0  00:00.03 2     1    29     3008K 0B    2720K 94911 1     sleeping *0[8]       0.00000 0.00000    501 1248      90     176        89         667        355        180        2       0        0.0   0      0      0      jiten                  N/A    N/A   N/A   N/A   N/A   N/A  
